ID,FARE
1,42.5783616201
2,24.773350459
3,69.2276385821
4,35.3571881319
5,32.9020965373
6,276.131300199
7,413.722556431
8,29.0732218267
9,160.496790418
10,39.1201310949
11,98.0504726095
12,263.226817477
13,73.9404285842
14,56.1030581124
15,21.5583130919
16,35.1873444213
17,392.49421659
18,86.2807037695
19,385.78215265
20,48.0185820408
21,57.3339878658
22,76.3190684497
23,61.3506222047
24,249.35656436
25,437.348304988
26,81.6606702409
27,49.7997127543
28,947.16462886
29,158.694865827
30,28.866343255
31,508.013828792
32,544.400577316
33,67.0160253791
34,391.725142049
35,114.202519643
36,72.4361377329
37,82.0721402972
38,68.5103483945
39,37.9451323917
40,38.7354541483
41,417.833165295
42,643.968176946
43,75.5824358106
44,31.0766301452
45,41.4776878811
46,77.8178557984
47,25.5489924516
48,500.4427841
49,77.9305349111
50,31.5419457991
51,610.212987082
52,100.61493205
53,38.7294524922
54,781.112408111
55,51.087701446
56,113.648545421
57,29.8886986271
58,1232.28125563
59,270.477956448
60,598.487978407
61,45.2300512239
62,24.9813366969
63,56.6174847775
64,57.2113145958
65,213.045333443
66,29.206626141
67,28.9734973831
68,35.674047746
69,360.795696079
70,91.8849468211
71,754.949976993
72,61.1216495075
73,1126.30183625
74,276.677944087
75,78.0234783885
76,27.0089168885
77,41.4706677345
78,83.3556741391
79,41.5526083926
80,482.863465306
81,630.738797169
82,52.403447251
83,428.185512375
84,35.2809459481
85,616.037413405
86,73.1442118805
87,92.2278228145
88,1134.90037938
89,92.5449345992
90,253.689086099
91,82.7880253334
92,1035.30289223
93,865.661551488
94,67.3444938115
95,26.2528409098
96,44.4561303941
97,495.126312946
98,34.8840309533
99,1058.13532801
100,760.68987107
101,449.776963391
102,889.269248737
103,859.386669913
104,40.8183255731
105,78.8473544186
106,424.471885413
107,36.5607094129
108,557.57501713
109,412.204193768
110,61.9655544859
111,36.8795736697
112,133.771861677
113,35.1231613046
114,157.877485937
115,46.855262208
116,30.9139234963
117,49.6498510771
118,38.2755457201
119,342.626266795
120,398.01740209
121,158.206146412
122,50.095325769
123,547.568572176
124,74.9323235518
125,733.170145945
126,70.7384089717
127,38.1750714179
128,72.3783285328
129,443.559582373
130,75.1323830457
131,489.292697572
132,102.370276035
133,932.216306085
134,163.26879384
135,36.6547597408
